numero_compteur,avg_amperage_per_day,median_amperage_per_day,avg_depense_per_day,jours_observed,records_per_day_avg,zone,type_maison,nombre_personnes,ratio_depense_amperage,niveau_conso,niveau_conso_pred,prob_petit,prob_moyen,prob_grand,confiance
SGJR_10096,19.51620437956204,9.09,0.17344452554744527,137,22.145985401459853,Janrabel,Rezidansyel,4.0,0.008887205840096368,grand,petit,0.9995876,0.00027920277,0.00013326517,0.9995876
SGJR_10097,4.09295918367347,1.605,0.03724634353741497,196,12.678571428571429,Janrabel,Rezidansyel,4.0,0.009100101383099041,grand,petit,0.99927634,0.0005653921,0.000158236,0.99927634
SGJR_10098,0.13333333333333333,0.14,0.0012777777777777776,3,13.333333333333334,Janrabel,Rezidansyel,4.0,0.009583333261458334,petit,grand,0.00018760242,0.00027221953,0.9995402,0.9995402
SGJR_10099,4.15,0.66,0.03971156028368795,47,15.829787234042554,Janrabel,Rezidansyel,2.0,0.009569050668462383,grand,petit,0.99924135,0.0005978404,0.00016086207,0.99924135
SGJR_10100,1.5948148148148147,0.25,0.017139876543209878,27,15.777777777777779,Janrabel,Rezidansyel,4.0,0.010747251889839547,moyen,moyen,0.00015099604,0.9996605,0.00018851749,0.9996605
SGJR_10101,0.9509803921568627,0.11,0.010141372549019607,51,12.588235294117647,Janrabel,Rezidansyel,4.0,0.010664123700126385,petit,grand,0.00015326394,0.00031288512,0.9995339,0.9995339
SGJR_10102,8.527358490566037,0.06,0.07940654088050315,53,8.471698113207546,Janrabel,Rezidansyel,4.0,0.00931197403733407,grand,petit,0.9994892,0.00034987918,0.00016090197,0.9994892
SGJR_10103,1.9348888888888887,0.25,0.02069851851851852,45,17.4,Janrabel,Rezidansyel,4.0,0.0106975230602038,moyen,moyen,0.00015342793,0.9996619,0.00018470972,0.9996619
SGJR_10104,0.7509478672985781,0.19,0.007117472353870458,211,9.369668246445498,Janrabel,Rezidansyel,4.0,0.00947798463027335,petit,grand,0.000306103,0.0006155662,0.9990783,0.9990783
SGJR_10105,2.166164383561644,0.52,0.023520045662100458,73,20.82191780821918,Janrabel,Rezidansyel,4.0,0.010857922801117467,moyen,moyen,0.0002858004,0.9994017,0.0003124514,0.9994017
SGJR_10106,1.582857142857143,0.495,0.013562539682539681,42,24.904761904761905,Janrabel,Rezidansyel,4.0,0.008568391490776085,moyen,moyen,0.00053897186,0.9985232,0.0009378154,0.9985232
SGJR_10107,0.8908024691358025,0.42000000000000004,0.008675802469135803,162,9.376543209876543,Janrabel,Rezidansyel,4.0,0.009739311194111507,petit,grand,0.00025854478,0.0006030898,0.99913836,0.99913836
SGJR_10108,10.784848484848483,3.125,0.11026166666666667,264,23.21590909090909,Janrabel,Rezidansyel,4.0,0.010223756672274844,grand,petit,0.9994349,0.0003906372,0.00017445735,0.9994349
SGJR_10109,7.39,1.67,0.0735,7,22.0,Janrabel,Rezidansyel,4.0,0.009945872799736688,grand,petit,0.99956053,0.0002783766,0.00016111553,0.99956053
SGJR_10110,1.6585714285714286,0.62,0.014866523809523809,70,10.028571428571428,Janrabel,Rezidansyel,4.0,0.00896345104254285,moyen,moyen,0.00060195883,0.9986694,0.00072869187,0.9986694
SGJR_10111,6.185714285714286,1.3,0.06374936507936509,21,13.238095238095237,Janrabel,Rezidansyel,4.0,0.0103059019742128,grand,petit,0.99958473,0.0002541491,0.00016111943,0.99958473
SGJR_10112,1.9116666666666668,0.395,0.020229722222222222,24,20.041666666666668,Janrabel,Rezidansyel,4.0,0.010582243528320824,moyen,moyen,0.00023034327,0.99947995,0.00028975788,0.99947995
SGJR_10114,0.5405263157894736,0.47000000000000003,0.005967894736842105,38,9.789473684210526,Janrabel,Rezidansyel,4.0,0.011040895792621519,petit,grand,0.00015325984,0.00033966594,0.99950707,0.99950707
SGJR_10115,0.6524390243902439,0.15000000000000002,0.0058108943089430895,41,11.975609756097562,Janrabel,Rezidansyel,4.0,0.008906417431831909,petit,grand,0.0003220129,0.00057362654,0.9991043,0.9991043
SGJR_10116,0.8400000000000001,0.14500000000000002,0.007496499999999999,20,13.1,Janrabel,Rezidansyel,4.0,0.008924404751280469,petit,grand,0.00027576485,0.00035642405,0.9993678,0.9993678
